rank,district_name,district_id,state,enrollment,school_year,calendar_source_url,calendar_source_format,first_day_of_school,last_day_of_school,total_weekdays_in_school_year,total_calendar_weeks,total_instructional_days,unbroken_five_day_weeks,percent_weeks_unbroken,longest_unbroken_streak,early_release_day_count,teacher_only_day_count,holiday_day_count,break_day_count,total_non_instructional_days,has_multiple_calendars,extracted_at,human_verified,notes
13,Hawaii State Department of Education,nces:1500030,HI,169308,2025-2026,https://www.hawaiipublicschools.org/DOE%20Forms/2025-26calendar.pdf,PDF,2025-08-04,2026-05-28,214,42,183,29,69.0,7,0,1,10,20,31,False,2026-04-05,False,"Hawaii operates as a single statewide district. Calendar source: official HIDOE 2025-2026 School Calendar approved June 1, 2023. First student day Aug 4, 2025; last student day May 28, 2026. Feb 9-13 is 'Institute Day' week where exactly one day (TBD per island) is a teacher-only day; all five days classified full_instructional with low confidence pending island-specific determination - a reviewer should pick the correct day per island. Fall Break (Oct 6-10), Winter Break (Dec 22-Jan 2), Spring Break (Mar 16-20) classified as break. Nov 28 (day after Thanksgiving) is standalone 'School Holiday' per calendar, classified as holiday. No early-release days marked on the official calendar. Calendar footnote mentions 2 instructional days converted to non-student days for school planning/collaboration - these are not dated on the published calendar so were not classified as teacher_only. The published 180 student-day total may therefore differ slightly from this extraction's full_instructional tally."
14,Wake County Public School System,nces:3704720,NC,161481,2025-2026,https://www.wcpss.net/student-life/calendars-and-attendance,HTML,2025-08-25,2026-06-11,209,41,177,23,56.1,3,0,8,4,17,29,False,2026-04-05,False,"Traditional track calendar used (Wake operates multiple tracks: Traditional, Year-Round, Modified, Early College — this extraction represents the Traditional track only). First/last day verified against source PDF legend (""First and last days"" markers on Aug 25 and Jun 11). Jan 2, Feb 16, May 1 are teacher workdays (W) that the source legend explicitly lists as ""Days available for weather make-up in order of utilization"" — classified as weather_makeup_placeholder per extraction rule; Jun 12 also so listed but falls after last day of school. Thanksgiving (Nov 26-28), Winter (Dec 22-Jan 1), and Spring (Mar 30-Apr 3) breaks classified as `break`. Q/R symbols (end of nine weeks, report cards) do not modify instructional status. Oct 31 and Jan 23 Q placements have medium confidence due to column-alignment ambiguity between Thu/Fri in the source text extraction."
15,Montgomery County Public Schools,nces:2400480,MD,160223,2025-2026,https://ww2.montgomeryschoolsmd.org/calendar/pdfs/2025/2025-26_TRADITIONAL_SchoolCalendar.pdf,PDF,2025-08-26,2026-06-17,212,41,176,23,56.1,5,5,10,7,14,36,False,2026-04-05,False,"Extracted from MCPS 2025-26 Traditional School Calendar PDF. Note: The PDF states June 17, 2026 is the last day of school for students (early release). June 18 is Grading/Planning (teacher_only). June 19 is Juneteenth (Systemwide Closure). June 22-26 are listed as possible emergency make-up instructional days and are classified as weather_makeup_placeholder. The task-provided last_day_of_school (2026-06-25) extends beyond the actual student last day (June 17) per the published calendar. MCPS 'Non-Instructional Day' phrasing says 'no school for students and teachers'; these are classified as teacher_only per the canonical taxonomy (closest fit for staff-or-closure days with no students). Arcola Elementary follows an Innovative calendar and is excluded. No grade-band split in the Traditional calendar. | TRIMMED 2026-04-05: days after 2026-06-17 removed to match corrected last_day_of_school (originally extracted through 6/25 from stale seed)."
16,Charlotte-Mecklenburg Schools,nces:3702970,NC,144116,2025-2026,https://www.cmsk12.org/calendar,HTML,2025-08-25,2026-06-10,208,41,177,25,61.0,6,0,10,4,17,31,False,2026-04-05,False,"Source is a single-page district calendar grid with a 'Key Dates' sidebar; the grid itself contains no per-day legend marks beyond the sidebar list, so all unmarked Mon-Fri weekdays are classified as full_instructional. Sidebar summary lists '04 Early Release Days' for the year but does NOT specify which dates are early release; no early_release days were assigned in this extraction - a human reviewer should locate the elementary early-release dates from a supplementary CMS document. Makeup days (Jan 23, Feb 16, Mar 20, Apr 3, plus Jun 11 which is outside the school year window) are listed in the calendar as Teacher Workdays that convert to weather-makeup if needed; classified as teacher_only per the legend (not weather_makeup_placeholder, because the days are firmly scheduled as teacher workdays by default). Jun 11-12 Teacher Workdays are excluded because they fall after the last day of school (Jun 10). Instructional day count computed here: 177 (seed cited 177). Discrepancy should be reconciled by identifying the 4 early-release days and any additional closures not visible in the sidebar text."
17,Dallas Independent School District,nces:4816230,TX,139246,2025-2026,https://resources.finalsite.net/images/v1747860790/dallasisdorg/jkxfvzqjmin9zgoatkjq/APPROVEDCalendar2025-2026.pdf,PDF,2025-08-12,2026-05-27,207,40,173,25,62.5,4,2,3,7,20,32,False,2026-04-05,False,"Dallas ISD publishes a single standard calendar (used here) plus an A/B alternate calendar for select schools; standard calendar used per instructions. Oct 13, Nov 4, and Jan 5 appear under both Professional Development and Staff/Student Holiday — classified as teacher_only (staff PD, students off). Dec 19 and May 27 are listed as both Early Release (all schools) and Teacher Workday; classified as early_release since students are dismissed early rather than absent (confidence medium). Dec 17-18 and May 22, 26 early releases apply to secondary only; elementary grade band used, so these are full_instructional. Oct 9-10 Fall Break/Fair Days classified as holiday (two-day, not a full week break). Apr 6 and May 4 are explicit inclement weather make-up days per legend -> weather_makeup_placeholder. Apr 3 is a standalone staff/student holiday (likely Good Friday). Note: Apr 3 2026 is Good Friday; source lists as generic holiday."
18,Prince George's County Public Schools,nces:2401290,MD,131310,2025-2026,https://www.pgcps.org/globalassets/featured-pages/about-pgcps/docs---about-pgcps/calendars/2025-2026-school-year-calendar.pdf,PDF,2025-08-26,2026-06-12,209,41,175,21,51.2,4,7,2,6,19,34,False,2026-04-05,False,"Calendar updated March 25, 2026 after Feb 4 2026 Board emergency action applying 6 of 8 weather make-up days. Mar 20 (was PD) and May 27 (was Eid al-Adha) were converted to open instructional days. June 15-18 are weather make-up placeholders per footnote 1 but fall after seed last_day 2026-06-12 and are not included. If no further closures occur, last student day is June 12, 2026 per footnote 1. Conflicts flagged low confidence: March 27 (line says 'Full Day for Students' but footnote 2 lists as early dismissal) and April 22 (line says 'Full Day' but footnote 2 lists as early dismissal); defaulted to footnote 2 (early_release). Sep 23 is both Rosh Hashanah and a PD day with schools closed to students; classified as holiday. Oct 2 is Yom Kippur full closure (also a potential make-up day). Nov 11 P/T Conferences: schools closed to students, classified teacher_only. Grade band: elementary (May 8 HS seniors last day does not affect elementary)."
19,Duval County Public Schools,nces:1200600,FL,127971,2025-2026,https://www.duvalschools.org/page/calendar2526,HTML,2025-08-11,2026-05-28,209,41,173,26,63.4,6,0,4,8,23,35,False,2026-04-05,False,"Source: official Duval County Public Schools 2025-2026 District Calendar PDF (Board Approved 06/04/2024). Color-coded legend decoded as follows: purple=first/last day of school, green italic=Employee Planning/Inservice (teacher_only), dark green=Schools/Admin Offices Closed (holiday/break), yellow=Schools Closed (holiday/break depending on context), cyan italic=Weather Day (weather_makeup_placeholder), orange=Former Weather Day (#w, re-purposed as holiday). Judgment calls: (1) Apr 6 shown as orange 'Former Weather Day' — interpreted as Easter Monday holiday since it sits adjacent to Good Friday Apr 3 and the calendar footnote explains former weather days are converted to non-instructional days. Confidence low. (2) Apr 7 cyan 'Weather Day' — classified as weather_makeup_placeholder per legend. (3) Oct 10 and Nov 10 yellow 'Schools Closed' — standalone single-day closures, classified as holiday. (4) Dec 19 yellow with tilde (end of grading period) is contiguous with winter break week starting Dec 22, so classified as break. (5) Mar 13 yellow with tilde similarly classified as break (contiguous with spring break Mar 16-20). (6) Duval does not appear to schedule early-release days on this district-wide calendar — none classified. (7) Weather days May 29, Jun 1, Jun 2 fall outside the Aug 11-May 28 window per seed metadata and are excluded. (8) Pre-planning week Aug 4-8 (teacher_only) falls before first day of school and is excluded."
20,Cypress-Fairbanks Independent School District,nces:4815910,TX,118470,2025-2026,https://resources.finalsite.net/images/v1731431383/cfisdnet/smkta35l4o8ttkbumxry/CFISD25-26Calendar.pdf,PDF,2025-08-13,2026-05-28,207,40,173,25,62.5,6,0,3,7,21,31,False,2026-04-05,False,"Source is the official Cy-Fair ISD 2025-2026 district calendar. First day Aug 13, 2025 and last day May 28, 2026 verified from calendar text. Calendar does not list early release or half days for elementary, so no early_release entries. Oct 10, Nov 4, and Feb 16 are classified as weather_makeup_placeholder because the calendar's legend labels them 'Teacher Work Day/School Closure Make-up Day/Student Holiday/Inclement Weather Day' — these are pre-designated inclement weather make-up days when students are not in attendance absent a weather cancellation. Confidence medium because they straddle teacher_only and weather_makeup_placeholder definitions; legend explicitly mentions Inclement Weather Day so weather_makeup_placeholder takes precedence per extraction rules. Thanksgiving (Nov 24-28), Winter (Dec 19-Jan 2 weekdays), and Spring (Mar 9-13) are classified as 'break'. Single-day closures (Labor Day, MLK, Good Friday, Memorial Day) are 'holiday'. No grade-band split behavior noted in the source calendar; elementary and secondary share identical grading periods and dates."
21,School District of Philadelphia,nces:4218990,PA,117907,2025-2026,https://www.philasd.org/wp-content/uploads/2025/04/SDP-Academic-Calendar-SY-25-26.pdf,PDF,2025-08-25,2026-06-12,210,42,165,16,38.1,2,16,2,13,14,45,False,2026-04-05,False,"Source: official SDP 2025-26 academic calendar PDF (board amended March 2026 reflected). Judgment calls: (1) Aug 25-29 Kindergarten Interview Days are 3-hour early dismissal for K only, not whole school; classified as full_instructional for elementary overall with medium confidence and notes. (2) Jan 2, 2026 is listed as Staff Professional Dev. (Full Day) / School Closed for Students, adjacent to New Year's Day and Winter Recess; classified as teacher_only per source label (not break). (3) Spring Recess Mar 30-Apr 2 plus Good Friday Apr 3 form a continuous 5-weekday closure; all classified as break. (4) Thanksgiving Recess Nov 27-28 classified as break (multi-day closure). (5) May 19 Election Day marked 'tentative' in source; classified as holiday with medium confidence. (6) Nov 26 is a 3-hour early dismissal for students AND staff (day before Thanksgiving); classified as early_release since students attend part of day."
22,Polk County Public Schools,nces:1201140,FL,111041,2025-2026,https://www.polkschoolsfl.com/calendars,HTML,2025-08-11,2026-05-28,209,41,170,21,51.2,4,10,3,6,20,39,False,2026-04-05,False,"First day Mon 8/11/25, last day Thu 5/28/26 verified against source. 10 early dismissal days verified against explicit list on p.2. Fall Break 11/24-28 classified as 'break'; 11/24 and 11/25 are additionally designated storm make-up days (noted). Winter Break spans 12/22/25-1/2/26; 1/1/26 New Year's Day falls inside the labeled winter break and is classified 'break' per multi-day-break rule (noted). 1/5/26 teacher workday and 1/6/26 staff development day are teacher_only (students return 1/7). 1/6/26 is also a designated storm make-up day (medium confidence). 10/13/25 is teacher_only (staff dev AM / planning PM, no students). 4/3/26 classified as standalone 'holiday' (Good Friday; source says 'No School for Students, Teachers and Paraeducators' — not part of a labeled multi-day break). 5/28/26 last day is early_release (dismissal 10 of 10) and also designated as storm make-up day. Elementary calendar used (district publishes one unified calendar; elementary grades-due milestone 5/15 noted but does not affect day classification)."
23,Baltimore County Public Schools,nces:2400090,MD,110275,2025-2026,https://www.bcps.org/calendars,HTML,2025-08-25,2026-06-11,209,41,174,23,56.1,6,6,6,6,17,35,False,2026-04-05,False,"Seed first_day corrected from 2025-08-27 to 2025-08-25 (Opening Day for Students per source; 8/27 is First Full Day of Kindergarten but older students start 8/25). Last day 2026-06-11 retained as nominal per footnote ('If no emergency closure days occur, the school year will end for students on Thursday, June 11, 2026'). June 12/15/16 are weather make-up placeholders and are excluded as they fall after the nominal last day. BCPS asterisk holidays (Columbus Day 10/13, Veterans Day 11/11, Maryland Day 3/25) are instructional days with appropriate exercises. Nov 18 is a grade-split day: elementary students are out (teacher_only for elementary band) while middle/high are in session. Apr 24 affects only PreK and Kindergarten; grades 1-5 remain in session so classified as full_instructional with medium confidence. 10/17 MSEA Convention is classified as holiday (single-day union closure, not part of a break). Thanksgiving Thu/Fri classified as break per multi-day rule. Report card distribution days are regular instructional days."
24,Memphis-Shelby County Schools,nces:4702940,TN,110057,2025-2026,https://www.scsk12.org/calendar25/files/25/Revision%20Draft%202025-26_MSCS_Students_Calendar.pdf,PDF,2025-08-04,2026-05-21,209,41,175,28,68.3,5,0,2,4,28,34,False,2026-04-05,False,"Source: MSCS 2025-26 Student Calendar (text extracted from PDF), pending TN Dept of Ed approval per footer. First day Aug 4 2025 and last day May 21 2026 verified against source. Parent/Teacher Conferences (Sep 4/9/11, Jan 22/27/29) are 4-7 p.m. after-school events; students attend the full regular day, so classified full_instructional. Semester Exam days (Dec 17-19 and May 19-21) are flagged medium confidence: MSCS has historically run these as half days for students, but the 2025-26 calendar legend does not explicitly mark them as early release, so they are left as full_instructional pending human verification. First Semester total reported by source = 87 days; Second Semester = 88 days (175 total student days); see counting script for reconciliation. Inservice Nov 10 and Stockpiled PD Feb 13 classified teacher_only per 'Students Out' labels. Fall Break (Oct 13-17), Thanksgiving Break (Nov 24-28), Winter Break (Dec 22 - Jan 5), Spring Break (Mar 16-20), and Spring Break II (Apr 3-6) classified as break. Standalone closures (Labor Day, Veterans Day, MLK, Presidents Day) classified as holiday."
25,Cobb County School District,nces:1301320,GA,106358,2025-2026,https://media.cobbk12.org/media/WWWCobb/medialib/2025-2026-ptsa-calendar.a6d63c113514.pdf,PDF,2025-08-04,2026-05-20,208,41,169,30,73.2,6,5,2,2,30,39,False,2026-04-05,False,"Re-extracted directly from the color-coded PDF (previous extraction was from pdftotext output and flagged for verification). Key corrections vs. prior extraction: (1) Added FALL BREAK Sept 22-26, 2025 — a full week closure marked with white boxes on the PDF, confirmed by Cobb CCSD press release. (2) Added Nov 4, 2025 Election Day as teacher_only (Student Holiday/Staff Workday). (3) Added Jan 5, 2026 as teacher_only (Student Holiday/Staff Workday before students return from winter break). (4) Added early_release days Dec 18-19, 2025 (semester-end early dismissal) and May 18-20, 2026 (end-of-year early release week, last day May 20). (5) Converted Feb 16-20 from single Presidents' Day holiday to a full week break (Presidents' Day + Winter Recess Feb 17-20), per official calendar. The PDF's purple/green/orange cell fills are PTA 'Suggested Evening Meeting Week' indicators (elementary/middle/high rotation), NOT student schedule marks — only the black/grey/white BOX OUTLINES indicate student-schedule day types. Digital Learning Days (Aug 18, Oct 13, Dec 2, Mar 2) are classified as full_instructional since students attend remotely. Note: Cobb also runs elementary/middle parent-teacher conference early release Oct 14-17 per press release, but the PDF does not box these days for elementary, so they are retained as full_instructional with medium-confidence risk — reviewer may want to verify."
